N;Aleat triSelection;PresqueTri triSelection;PresqueTriDeb triSelection;PresqueTriDebFin triSelection;PresqueTriFin triSelection;;;Aleat triBulles;PresqueTri triBulles;PresqueTriDeb triBulles;PresqueTriDebFin triBulles;PresqueTriFin triBulles;;;Aleat triBullesOpti;PresqueTri triBullesOpti;PresqueTriDeb triBullesOpti;PresqueTriDebFin triBullesOpti;PresqueTriFin triBullesOpti;;;Aleat triPeigne;PresqueTri triPeigne;PresqueTriDeb triPeigne;PresqueTriDebFin triPeigne;PresqueTriFin triPeigne;;;Aleat triRapide;PresqueTri triRapide;PresqueTriDeb triRapide;PresqueTriDebFin triRapide;PresqueTriFin triRapide;;;
25;324;324;324;324;324;;;300;300;300;300;300;;;299;47;47;47;300;;;197;172;172;172;172;;;121;122;137;125;140;;;
26;350;350;350;350;350;;;325;325;325;325;325;;;297;49;49;49;325;;;199;199;199;199;199;;;143;141;147;124;127;;;
27;377;377;377;377;377;;;351;351;351;351;351;;;350;51;51;51;351;;;209;209;209;209;182;;;147;178;127;141;138;;;
28;405;405;405;405;405;;;378;378;378;378;378;;;377;53;53;53;378;;;215;215;215;215;215;;;147;150;175;159;151;;;
29;434;434;434;434;434;;;406;406;406;406;406;;;406;55;55;55;406;;;224;224;224;224;195;;;164;156;166;171;184;;;
30;464;464;464;464;464;;;435;435;435;435;435;;;380;57;57;57;435;;;258;228;228;228;258;;;172;155;156;182;178;;;
31;495;495;495;495;495;;;465;465;465;465;465;;;429;59;59;59;465;;;238;238;238;238;238;;;152;154;181;165;159;;;
32;527;527;527;527;527;;;496;496;496;496;496;;;490;61;61;61;496;;;246;246;246;246;214;;;185;183;205;164;187;;;
33;560;560;560;560;560;;;528;528;528;528;528;;;513;63;63;63;528;;;319;253;253;253;286;;;172;183;219;197;206;;;
34;594;594;594;594;594;;;561;561;561;561;561;;;560;65;65;65;561;;;288;288;288;288;288;;;189;175;175;206;202;;;
35;629;629;629;629;629;;;595;595;595;595;595;;;567;67;67;67;595;;;299;299;299;299;264;;;203;213;206;197;215;;;
36;665;665;665;665;665;;;630;630;630;630;630;;;627;69;69;69;630;;;309;309;309;309;309;;;228;293;241;249;201;;;
37;702;702;702;702;702;;;666;666;666;666;666;;;663;71;71;71;666;;;315;315;315;315;315;;;198;246;253;242;222;;;
38;740;740;740;740;740;;;703;703;703;703;703;;;682;73;73;73;703;;;324;324;324;324;324;;;210;281;267;298;210;;;
39;779;779;779;779;779;;;741;741;741;741;741;;;705;75;75;75;741;;;328;328;328;328;328;;;248;224;261;240;239;;;
40;819;819;819;819;819;;;780;780;780;780;780;;;735;77;77;77;780;;;379;339;339;339;379;;;224;247;208;236;265;;;
41;860;860;860;860;860;;;820;820;820;820;820;;;799;79;79;79;820;;;390;349;349;349;390;;;238;271;282;297;238;;;
42;902;902;902;902;902;;;861;861;861;861;861;;;858;81;81;81;861;;;399;357;357;357;399;;;266;227;238;306;277;;;
43;945;945;945;945;945;;;903;903;903;903;903;;;798;83;83;83;903;;;407;364;364;364;407;;;254;254;267;292;290;;;
44;989;989;989;989;989;;;946;946;946;946;946;;;936;85;85;85;946;;;375;375;375;375;375;;;274;240;269;261;251;;;
45;1034;1034;1034;1034;1034;;;990;990;990;990;990;;;962;87;87;87;990;;;466;421;421;421;421;;;276;254;309;319;270;;;
46;1080;1080;1080;1080;1080;;;1035;1035;1035;1035;1035;;;1020;89;89;89;1035;;;432;432;432;432;432;;;265;273;301;306;291;;;
47;1127;1127;1127;1127;1127;;;1081;1081;1081;1081;1081;;;1060;91;91;91;1081;;;442;442;442;442;395;;;305;287;312;291;266;;;
48;1175;1175;1175;1175;1175;;;1128;1128;1128;1128;1128;;;1023;93;93;93;1128;;;454;454;454;454;454;;;309;279;276;335;287;;;
49;1224;1224;1224;1224;1224;;;1176;1176;1176;1176;1176;;;1173;95;95;95;1176;;;460;460;460;460;460;;;294;293;307;316;328;;;
50;1274;1274;1274;1274;1274;;;1225;1225;1225;1225;1225;;;1197;97;97;97;1225;;;469;469;469;469;469;;;370;378;312;298;340;;;
51;1325;1325;1325;1325;1325;;;1275;1275;1275;1275;1275;;;1220;99;99;99;1275;;;524;473;473;473;524;;;349;316;306;412;318;;;
52;1377;1377;1377;1377;1377;;;1326;1326;1326;1326;1326;;;1320;101;101;101;1326;;;536;484;484;484;536;;;338;317;408;319;348;;;
53;1430;1430;1430;1430;1430;;;1378;1378;1378;1378;1378;;;1368;103;103;103;1378;;;549;496;496;496;549;;;326;363;406;367;356;;;
54;1484;1484;1484;1484;1484;;;1431;1431;1431;1431;1431;;;1410;105;105;105;1431;;;560;506;506;506;506;;;316;334;322;331;343;;;
55;1539;1539;1539;1539;1539;;;1485;1485;1485;1485;1485;;;1482;107;107;107;1485;;;569;514;514;514;569;;;351;339;401;417;375;;;
56;1595;1595;1595;1595;1595;;;1540;1540;1540;1540;1540;;;1420;109;109;109;1540;;;577;521;521;521;577;;;405;406;341;348;349;;;
57;1652;1652;1652;1652;1652;;;1596;1596;1596;1596;1596;;;1575;111;111;111;1596;;;647;533;533;533;590;;;381;388;424;335;365;;;
58;1710;1710;1710;1710;1710;;;1653;1653;1653;1653;1653;;;1647;113;113;113;1653;;;660;544;544;544;602;;;361;404;445;387;340;;;
59;1769;1769;1769;1769;1769;;;1711;1711;1711;1711;1711;;;1683;115;115;115;1711;;;604;604;604;604;604;;;413;394;372;373;363;;;
60;1829;1829;1829;1829;1829;;;1770;1770;1770;1770;1770;;;1679;117;117;117;1770;;;615;615;615;615;615;;;439;390;358;449;403;;;
61;1890;1890;1890;1890;1890;;;1830;1830;1830;1830;1830;;;1694;119;119;119;1830;;;628;628;628;628;628;;;466;374;372;393;449;;;
62;1952;1952;1952;1952;1952;;;1891;1891;1891;1891;1891;;;1836;121;121;121;1891;;;700;638;638;638;638;;;414;532;367;381;443;;;
63;2015;2015;2015;2015;2015;;;1953;1953;1953;1953;1953;;;1947;123;123;123;1953;;;713;650;650;650;587;;;474;371;425;437;415;;;
64;2079;2079;2079;2079;2079;;;2016;2016;2016;2016;2016;;;2001;125;125;125;2016;;;656;656;656;656;656;;;411;446;465;406;413;;;
65;2144;2144;2144;2144;2144;;;2080;2080;2080;2080;2080;;;2077;127;127;127;2080;;;665;665;665;665;665;;;461;428;492;438;386;;;
66;2210;2210;2210;2210;2210;;;2145;2145;2145;2145;2145;;;2117;129;129;129;2145;;;678;678;678;678;678;;;531;441;399;514;442;;;
67;2277;2277;2277;2277;2277;;;2211;2211;2211;2211;2211;;;2190;131;131;131;2211;;;749;682;682;682;749;;;439;532;445;423;480;;;
68;2345;2345;2345;2345;2345;;;2278;2278;2278;2278;2278;;;2200;133;133;133;2278;;;761;693;693;693;693;;;443;470;450;551;500;;;
69;2414;2414;2414;2414;2414;;;2346;2346;2346;2346;2346;;;2241;135;135;135;2346;;;774;705;705;705;774;;;460;441;455;594;475;;;
70;2484;2484;2484;2484;2484;;;2415;2415;2415;2415;2415;;;2387;137;137;137;2415;;;788;718;718;718;788;;;498;608;532;512;556;;;
71;2555;2555;2555;2555;2555;;;2485;2485;2485;2485;2485;;;2365;139;139;139;2485;;;799;728;728;728;799;;;492;479;471;502;481;;;
72;2627;2627;2627;2627;2627;;;2556;2556;2556;2556;2556;;;2385;141;141;141;2556;;;880;736;736;736;808;;;490;482;510;603;581;;;
73;2700;2700;2700;2700;2700;;;2628;2628;2628;2628;2628;;;2618;143;143;143;2628;;;816;743;743;743;816;;;510;530;515;525;538;;;
74;2774;2774;2774;2774;2774;;;2701;2701;2701;2701;2701;;;2673;145;145;145;2701;;;830;756;756;756;830;;;526;526;539;477;494;;;
75;2849;2849;2849;2849;2849;;;2775;2775;2775;2775;2775;;;2565;147;147;147;2775;;;843;768;768;768;843;;;617;487;541;503;515;;;
76;2925;2925;2925;2925;2925;;;2850;2850;2850;2850;2850;;;2784;149;149;149;2850;;;779;779;779;779;855;;;521;495;554;507;513;;;
77;3002;3002;3002;3002;3002;;;2926;2926;2926;2926;2926;;;2923;151;151;151;2926;;;934;857;857;857;857;;;591;653;558;560;551;;;
78;3080;3080;3080;3080;3080;;;3003;3003;3003;3003;3003;;;3003;153;153;153;3003;;;946;868;868;868;868;;;616;555;604;644;562;;;
79;3159;3159;3159;3159;3159;;;3081;3081;3081;3081;3081;;;2990;155;155;155;3081;;;882;882;882;882;882;;;645;644;628;607;598;;;
80;3239;3239;3239;3239;3239;;;3160;3160;3160;3160;3160;;;3082;157;157;157;3160;;;895;895;895;895;895;;;553;591;623;577;621;;;
81;3320;3320;3320;3320;3320;;;3240;3240;3240;3240;3240;;;3087;159;159;159;3240;;;905;905;905;905;905;;;582;594;627;615;555;;;
82;3402;3402;3402;3402;3402;;;3321;3321;3321;3321;3321;;;3315;161;161;161;3321;;;999;917;917;917;917;;;551;595;573;681;724;;;
83;3485;3485;3485;3485;3485;;;3403;3403;3403;3403;3403;;;3337;163;163;163;3403;;;931;931;931;931;931;;;606;589;603;662;571;;;
84;3569;3569;3569;3569;3569;;;3486;3486;3486;3486;3486;;;3486;165;165;165;3486;;;937;937;937;937;937;;;658;647;588;573;607;;;
85;3654;3654;3654;3654;3654;;;3570;3570;3570;3570;3570;;;3542;167;167;167;3570;;;946;946;946;946;946;;;585;644;630;661;644;;;
86;3740;3740;3740;3740;3740;;;3655;3655;3655;3655;3655;;;3577;169;169;169;3655;;;1045;959;959;959;959;;;602;695;672;649;656;;;
87;3827;3827;3827;3827;3827;;;3741;3741;3741;3741;3741;;;3705;171;171;171;3741;;;1234;973;973;973;973;;;736;573;689;624;633;;;
88;3915;3915;3915;3915;3915;;;3828;3828;3828;3828;3828;;;3692;173;173;173;3828;;;1065;977;977;977;1065;;;690;641;631;709;690;;;
89;4004;4004;4004;4004;4004;;;3916;3916;3916;3916;3916;;;3916;175;175;175;3916;;;1077;988;988;988;1077;;;708;680;670;639;804;;;
90;4094;4094;4094;4094;4094;;;4005;4005;4005;4005;4005;;;3969;177;177;177;4005;;;1090;1000;1000;1000;1090;;;712;761;710;622;713;;;
